time,value
1644883200,6.0382
1644969600,8.4214
1645056000,5.6883
1645142400,4.5297
1645228800,5.2735
1645315200,5.8024
1645401600,4.2942
1645488000,4.8863
1645574400,6.5159
1645660800,4.0226
1645747200,4.1409
1645833600,6.4188
1645920000,5.3722
1646006400,7.2982
1646092800,6.6477
1646179200,10.6173
1646265600,11.16
1646352000,13.0531
1646438400,9.8247
1646524800,10.9817
1646611200,9.9045
1646697600,10.0479
1646784000,10.8283
1646870400,7.7688
1646956800,7.5641
1647043200,14.0808
1647129600,13.5213
1647216000,7.761
1647302400,14.1858
1647388800,9.4811
1647475200,11.1143
1647561600,16.4
1647648000,10.4015
1647734400,11.7477
1647820800,12.3719
1647907200,9.0405
1647993600,10.8896
1648080000,12.2353
1648166400,12.16
1648252800,19.1299
1648339200,13.37
1648425600,7.0783
1648512000,12.0252
1648598400,12.5606
1648684800,6.3395
1648771200,9.6534
1648857600,12.5294
1648944000,18.6923
1649030400,12.5
1649116800,12.8615
1649203200,8.1915
1649289600,10.2932
1649376000,11.9492
1649462400,18.716
1649548800,15.7
1649635200,7.028
1649721600,6.298
1649808000,10.7843
1649894400,12.5877
1649980800,16.6081
1650067200,13.957
1650153600,13.1081
1650240000,7.6264
1650326400,15.3529
1650412800,14.4609
1650499200,14.6509
1650585600,14.2456
1650672000,10.8283
1650758400,16.2874
1650844800,11.0351
1650931200,9.7321
1651017600,11.1462
1651104000,12.4267
1651190400,9.1458
1651276800,14.6092
1651363200,12.7403
1651449600,9.9816
1651536000,13.1652
1651622400,11.5692
1651708800,9.5031
1651795200,8.2323
1651881600,11.8065
1651968000,7.1818
1652054400,5.5785
1652140800,6.0133
1652227200,7.2623
1652313600,6.1712
1652400000,7.5248
1652486400,13.8298
1652572800,16.163
1652659200,5.2892
1652745600,9.125
1652832000,9.3605
1652918400,8.8246
1653004800,9.4894
1653091200,15.7292
1653177600,18.9318
1653264000,9.4557
1653350400,9.5955
1653436800,11.3514
1653523200,9.7179
1653609600,6.9792
1653696000,10.0342
1653782400,10.0533
1653868800,8.2174
1653955200,8.9247
1654041600,15.1273
1654128000,8.4719
1654214400,9.1809
1654300800,17.7159
1654387200,16.7467
1654473600,10.2683
1654560000,11.3516
1654646400,12.1752
1654732800,17.8315
1654819200,8.5528
1654905600,7.1585
1654992000,6.8021
1655078400,5.1145
1655164800,7.1146
1655251200,6.3381
1655337600,5.4981
1655424000,6.855
1655510400,4.8745
1655596800,4.3035
1655683200,7.3684
1655769600,7.1722
1655856000,8.5926
1655942400,9.5742
1656028800,9.4444
1656115200,15.8469
1656201600,12.4094
1656288000,8.3105
1656374400,12.2397
1656460800,7.4439
1656547200,7.3514
1656633600,5.6622
1656720000,10.9561
1656806400,7.9583
1656892800,7.914
1656979200,11.7391
1657238400,3.6649
1657324800,13.9151
1657411200,9.4476
1657497600,7.8357
1657584000,7.2044
1657670400,5.4229
1657756800,8.3716
1657843200,8.6078
1657929600,8.8916
1658016000,6.644
1658102400,7.7206
1658188800,5.4981
1658275200,6.8879
1658361600,8.3316
1658448000,10.512
1658534400,9.8284
1658620800,15.4483
1658707200,7.2204
1658793600,6.1598
1658880000,7.6407
1658966400,5.2522
1659052800,7.3793
1659139200,8.4286
1659225600,8.8916
1659312000,6.3896
1659398400,8.4796
1659484800,9.322
1659571200,9.8171
1659657600,6.9312
1659744000,8.9181
1659830400,17.2925
1659916800,8.5025
1660003200,11.0526
1660089600,6.6429
1660176000,7.2368
1660262400,8.9107
1660348800,7.569
1660435200,9.6641
1660521600,7.2959
1660608000,7.8957
1660694400,8.2986
1660780800,11.0392
1660867200,5.3185
1660953600,8.0065
1661040000,8.5179
1661126400,5.0787
1661212800,8.5495
1661299200,11.5547
1661385600,10.1714
1661472000,5.8339
1661558400,3.9099
1661644800,6.6313
1661731200,6.3578
1661817600,6.6281
1661904000,5.58
1661990400,4.7973
1662076800,5.1013
1662163200,8.3256
1662249600,9.4809
1662336000,10.1418
1662422400,6.3555
1662508800,7.4279
1662595200,8.2458
1662681600,7.2388
1662768000,9.9487
1662854400,9.8301
1662940800,9.816
1663027200,6.163
1663113600,7.1281
1663200000,6.7764
1663286400,5.3092
1663372800,8.7182
1663459200,12.6893
1663545600,5.2844
1663632000,8.7278
1663718400,5.0
1663804800,4.1381
1663891200,4.6801
1663977600,11.6741
1664064000,9.4832
1664150400,4.2175
1664236800,3.7131
1664323200,5.2273
1664496000,10.4
1664582400,7.12
1664668800,7.0957
1664755200,5.6667
1664841600,6.4784
1664928000,5.3084
1665014400,7.4914
1665100800,5.0983
1665187200,9.9455
1665273600,10.073
1665360000,5.331
1665446400,4.9231
1665532800,5.5846
1665619200,7.211
1665705600,4.3302
1665792000,7.4472
1665878400,9.1832
1665964800,6.0711
1666051200,6.6239
1666137600,7.598
1666224000,7.4276
1666310400,5.7296
1666396800,7.3133
1666483200,10.6517
1666569600,4.7833
1666656000,6.7436
1666742400,5.355
1666828800,4.8737
1666915200,6.6973
1667001600,7.2432
1667088000,8.1022
1667174400,10.0368
1667260800,9.2517
1667347200,6.2095
1667433600,5.5019
1667520000,5.641
1667606400,7.3459
1667692800,7.0114
1667779200,7.709
1667865600,8.1634
1667952000,4.792
1668038400,5.4523
1668124800,7.559
1668211200,8.9496
1668297600,10.9881
1668384000,7.7613
1668470400,7.0896
