Název okresu,year_num,month_num,cena_count,cena_m2_mean,cena_mean
Benešov,2020,3,39,41043,2779357
Benešov,2020,4,45,44325,3076314
Benešov,2020,5,44,43562,3113026
Benešov,2020,6,26,44091,2862128
Benešov,2020,7,18,43063,3044555
Benešov,2020,8,40,43360,2979120
Benešov,2020,9,45,44035,3031581
Benešov,2020,10,53,42021,2826512
Benešov,2020,12,25,42041,2853016
Benešov,2021,1,23,45164,3221173
Benešov,2021,2,26,46096,3113392
Benešov,2021,3,23,41876,3185313
Benešov,2021,4,24,51599,3534908
Benešov,2021,6,29,51964,3418310
Benešov,2021,7,33,54897,3376939
Benešov,2021,8,30,59404,3898133
Benešov,2021,9,23,60517,3891217
Benešov,2021,10,31,59946,4431833
Benešov,2021,11,23,64066,4850166
Benešov,2021,12,34,64072,4283287
Benešov,2022,1,29,70176,4700929
Benešov,2022,2,35,73698,4835236
Benešov,2022,3,35,75351,4627024
Benešov,2022,4,36,75948,4517829
Benešov,2022,5,29,78489,4651006
Benešov,2022,6,33,75358,4953006
Benešov,2022,7,46,71316,4521902
Benešov,2022,8,45,70092,4343465
Beroun,2020,3,121,56079,4270158
Beroun,2020,4,114,55793,4138046
Beroun,2020,5,111,55202,4199877
Beroun,2020,6,52,54126,4102555
Beroun,2020,7,30,56123,4677803
Beroun,2020,8,71,56475,4499338
Beroun,2020,9,75,55652,4324500
Beroun,2020,10,83,58274,4190062
Beroun,2020,12,69,61597,4551522
Beroun,2021,1,76,63594,4644390
Beroun,2021,2,71,63945,4743094
Beroun,2021,3,81,68290,4440570
Beroun,2021,4,67,71477,4652623
Beroun,2021,6,78,73562,4778418
Beroun,2021,7,76,74288,4797046
Beroun,2021,8,82,76191,4717142
Beroun,2021,9,75,78980,5174785
Beroun,2021,10,65,78942,4882880
Beroun,2021,11,62,78373,5055932
Beroun,2021,12,67,81023,5503226
Beroun,2022,1,79,80225,5112466
Beroun,2022,2,64,81150,5301839
Beroun,2022,3,81,87317,5316055
Beroun,2022,4,89,87421,5183855
Beroun,2022,5,78,88560,5635489
Beroun,2022,6,99,81763,5642092
Beroun,2022,7,144,83430,4994774
Beroun,2022,8,157,82331,5294585
Blansko,2020,3,65,41429,2822487
Blansko,2020,4,70,42626,2917345
Blansko,2020,5,60,43389,2867137
Blansko,2020,6,58,45075,2960223
Blansko,2020,7,41,47376,3295141
Blansko,2020,8,56,48605,3229807
Blansko,2020,9,64,49339,3221541
Blansko,2020,10,51,48589,3279519
Blansko,2020,12,100,36565,2357581
Blansko,2021,1,77,38157,2312287
Blansko,2021,2,54,46805,3129792
Blansko,2021,3,56,55181,4113941
Blansko,2021,4,53,56206,4114476
Blansko,2021,6,40,57955,4019749
Blansko,2021,7,37,55100,3926633
Blansko,2021,8,37,59380,4232140
Blansko,2021,9,33,58612,4093547
Blansko,2021,10,43,65362,4389722
Blansko,2021,11,36,58207,3926480
Blansko,2021,12,29,59169,4276418
Blansko,2022,1,35,68486,4640074
Blansko,2022,2,48,64514,4335497
Blansko,2022,3,59,66213,4260356
Blansko,2022,4,65,67315,4327362
Blansko,2022,5,60,67132,4380192
Blansko,2022,6,46,68333,4644081
Blansko,2022,7,62,68528,4129855
Blansko,2022,8,70,66937,4228521
Brno-město,2020,3,612,73148,5523652
Brno-město,2020,4,607,73722,5337355
Brno-město,2020,5,649,74026,5214436
Brno-město,2020,6,516,74098,5305701
Brno-město,2020,7,370,73476,5639937
Brno-město,2020,8,496,75873,5649554
Brno-město,2020,9,475,75727,5525310
Brno-město,2020,10,480,77748,5780136
Brno-město,2020,12,454,82821,5804809
Brno-město,2021,1,393,84745,5970272
Brno-město,2021,2,359,86500,6186296
Brno-město,2021,3,391,88693,6183874
Brno-město,2021,4,353,88715,6265819
Brno-město,2021,6,380,97144,6595116
Brno-město,2021,7,371,98155,6572902
Brno-město,2021,8,415,98470,6858178
Brno-město,2021,9,407,98053,6695658
Brno-město,2021,10,434,102553,6920683
Brno-město,2021,11,393,103370,7061501
Brno-město,2021,12,391,105742,7075944
Brno-město,2022,1,456,106593,7038036
Brno-město,2022,2,453,107621,7255701
Brno-město,2022,3,566,109902,7317826
Brno-město,2022,4,752,109339,7319974
Brno-město,2022,5,661,110504,7291613
Brno-město,2022,6,758,111197,7142604
Brno-město,2022,7,968,109410,6847168
Brno-město,2022,8,958,107521,6943962
Brno-venkov,2020,3,152,53191,3853442
Brno-venkov,2020,4,143,54704,3956769
Brno-venkov,2020,5,148,53717,3881416
Brno-venkov,2020,6,119,55794,4018624
Brno-venkov,2020,7,78,54265,4084712
Brno-venkov,2020,8,113,54932,4220125
Brno-venkov,2020,9,102,56417,4235444
Brno-venkov,2020,10,106,55441,4294020
Brno-venkov,2020,12,97,56991,4509986
Brno-venkov,2021,1,90,60434,4568455
Brno-venkov,2021,2,70,61157,4741125
Brno-venkov,2021,3,76,62229,4735054
Brno-venkov,2021,4,78,66008,4731434
Brno-venkov,2021,6,66,70401,4932266
Brno-venkov,2021,7,80,70074,4726430
Brno-venkov,2021,8,85,74317,4991597
Brno-venkov,2021,9,86,80870,5464295
Brno-venkov,2021,10,101,76589,5016560
Brno-venkov,2021,11,101,78533,5310078
Brno-venkov,2021,12,104,81374,5425831
Brno-venkov,2022,1,107,87464,5851731
Brno-venkov,2022,2,112,84902,5757871
Brno-venkov,2022,3,126,89114,6461250
Brno-venkov,2022,4,149,89536,6385071
Brno-venkov,2022,5,147,90081,6430871
Brno-venkov,2022,6,161,90956,6150918
Brno-venkov,2022,7,174,86938,5765158
Brno-venkov,2022,8,177,83772,5926798
Bruntál,2020,3,61,18715,1300006
Bruntál,2020,4,51,19491,1453635
Bruntál,2020,5,47,21532,1602604
Bruntál,2020,6,23,24618,1809886
Bruntál,2020,7,38,26469,1990355
Bruntál,2020,8,40,25767,1899435
Bruntál,2020,9,48,27708,1944067
Bruntál,2020,10,40,28116,1972685
Bruntál,2020,12,35,34746,2301385
Bruntál,2021,1,35,32015,2428542
Bruntál,2021,2,28,34705,2636892
Bruntál,2021,3,23,28323,2659526
Bruntál,2021,4,29,34179,2558086
Bruntál,2021,6,48,34938,2508085
Bruntál,2021,7,49,33958,2390328
Bruntál,2021,8,49,38153,2616557
Bruntál,2021,9,54,38641,2843338
Bruntál,2021,10,62,37837,2795137
Bruntál,2021,11,55,36671,2755954
Bruntál,2021,12,52,35152,2576942
Bruntál,2022,1,58,35016,2779777
Bruntál,2022,2,61,37245,2697155
Bruntál,2022,3,39,46385,2883269
Bruntál,2022,4,69,41269,2546217
Bruntál,2022,5,60,39930,2522623
Bruntál,2022,6,92,41094,2544497
Bruntál,2022,7,99,43969,2953670
Bruntál,2022,8,94,43244,2816430
Břeclav,2020,3,87,40354,2928129
Břeclav,2020,4,71,39931,2856120
Břeclav,2020,5,64,40666,2843789
Břeclav,2020,6,69,43870,2929976
Břeclav,2020,7,43,40178,3154767
Břeclav,2020,8,65,44858,2925266
Břeclav,2020,9,64,44100,2841060
Břeclav,2020,10,66,43088,3076058
Břeclav,2020,12,43,45030,3236640
Břeclav,2021,1,47,46755,3281411
Břeclav,2021,2,47,46854,3487475
Břeclav,2021,3,45,46501,3510319
Břeclav,2021,4,68,48914,3478391
Břeclav,2021,6,41,53516,4080358
Břeclav,2021,7,43,53688,3959754
Břeclav,2021,8,49,56344,4229842
Břeclav,2021,9,44,59709,4394742
Břeclav,2021,10,47,58661,4404297
Břeclav,2021,11,46,58027,4161152
Břeclav,2021,12,33,60242,4438909
Břeclav,2022,1,37,62354,4741837
Břeclav,2022,2,38,61849,4491921
Břeclav,2022,3,47,69748,4544393
Břeclav,2022,4,52,67782,4834428
Břeclav,2022,5,45,67549,4828758
Břeclav,2022,6,56,68418,4761623
Břeclav,2022,7,72,69195,5019828
Břeclav,2022,8,79,67450,5023915
Cheb,2020,3,320,45417,3386633
Cheb,2020,4,313,43324,3546578
Cheb,2020,5,283,41948,3282337
Cheb,2020,6,234,41981,3360144
Cheb,2020,7,252,42993,3586412
Cheb,2020,8,249,44473,3606679
Cheb,2020,9,264,43046,3388954
Cheb,2020,10,257,43322,3445328
Cheb,2020,12,240,40492,3186241
Cheb,2021,1,255,43768,3600992
Cheb,2021,2,213,42054,3292343
Cheb,2021,3,232,42857,3426245
Cheb,2021,4,229,42193,3451978
Cheb,2021,6,227,45739,3827498
Cheb,2021,7,207,46990,3774281
Cheb,2021,8,202,47481,3907202
Cheb,2021,9,189,47911,3970671
Cheb,2021,10,196,48245,3708057
Cheb,2021,11,194,49004,3839821
Cheb,2021,12,168,51318,4267937
Cheb,2022,1,177,52744,4465299
Cheb,2022,2,194,51695,4162074
Cheb,2022,3,191,51227,4315312
Cheb,2022,4,186,47680,3901211
Cheb,2022,5,188,52077,4276420
Cheb,2022,6,206,51776,4175573
Cheb,2022,7,210,51681,4250803
Cheb,2022,8,225,52507,4111561
Chomutov,2020,3,241,21735,1315562
Chomutov,2020,4,246,21950,1305959
Chomutov,2020,5,260,20834,1235674
Chomutov,2020,6,251,20166,1178864
Chomutov,2020,7,181,22286,1270290
Chomutov,2020,8,226,20006,1188420
Chomutov,2020,9,195,21138,1276385
Chomutov,2020,10,205,19910,1239400
Chomutov,2020,12,172,21166,1388852
Chomutov,2021,1,147,21770,1417384
Chomutov,2021,2,124,22749,1429498
Chomutov,2021,3,129,23632,1470398
Chomutov,2021,4,120,22354,1426787
Chomutov,2021,6,129,28237,1733243
Chomutov,2021,7,118,28803,1754942
Chomutov,2021,8,130,30705,1810976
Chomutov,2021,9,129,30890,1824902
Chomutov,2021,10,161,32732,1903192
Chomutov,2021,11,143,32181,1777448
Chomutov,2021,12,159,35245,2196874
Chomutov,2022,1,174,36703,2259193
Chomutov,2022,2,175,38992,2310283
Chomutov,2022,3,172,35761,2150650
Chomutov,2022,4,228,33596,2080402
Chomutov,2022,5,204,36292,2213190
Chomutov,2022,6,209,34551,2204523
Chomutov,2022,7,307,35969,2250535
