Název okresu,typBytu,year_num,month_num,cena_count,cena_m2_mean,cena_mean
Benešov,1+1,2020,3,3,38331,1504666
Benešov,1+1,2020,4,1,66111,2975000
Benešov,1+1,2020,5,1,52222,2350000
Benešov,1+1,2020,6,1,52222,2350000
Benešov,1+1,2020,7,1,52222,2350000
Benešov,1+1,2020,9,1,54444,1960000
Benešov,1+1,2020,10,1,54444,1960000
Benešov,1+1,2020,12,1,26756,990000
Benešov,1+1,2021,4,1,61111,2200000
Benešov,1+1,2021,6,1,55714,1950000
Benešov,1+1,2021,7,1,55714,1950000
Benešov,1+1,2021,8,1,55714,1950000
Benešov,1+1,2021,9,2,48690,1850000
Benešov,1+1,2022,2,1,103750,2490000
Benešov,1+kk,2020,3,1,25000,850000
Benešov,1+kk,2020,4,2,47794,1625000
Benešov,1+kk,2020,5,2,47794,1625000
Benešov,1+kk,2020,6,1,25000,850000
Benešov,1+kk,2020,9,1,25000,850000
Benešov,1+kk,2020,10,3,26596,1083000
Benešov,1+kk,2020,12,1,25000,850000
Benešov,1+kk,2021,1,1,25000,850000
Benešov,1+kk,2021,2,1,25000,850000
Benešov,1+kk,2021,3,1,25000,850000
Benešov,1+kk,2021,4,1,25000,850000
Benešov,1+kk,2021,6,1,25000,850000
Benešov,1+kk,2021,7,2,62300,1670000
Benešov,1+kk,2021,8,2,65948,1975000
Benešov,1+kk,2021,9,2,50000,1550000
Benešov,1+kk,2022,1,4,68730,2564987
Benešov,1+kk,2022,2,4,82313,3086300
Benešov,2+1,2020,3,2,36177,1692500
Benešov,2+1,2020,4,9,42675,2265555
Benešov,2+1,2020,5,8,42035,2245375
Benešov,2+1,2020,6,11,44152,2506000
Benešov,2+1,2020,7,5,41738,2506000
Benešov,2+1,2020,8,14,43080,2538214
Benešov,2+1,2020,9,11,43799,2566363
Benešov,2+1,2020,10,13,44980,2649461
Benešov,2+1,2020,12,5,34524,2243000
Benešov,2+1,2021,1,3,51113,2963333
Benešov,2+1,2021,2,10,42293,2752021
Benešov,2+1,2021,3,6,29604,2690035
Benešov,2+1,2021,4,6,51883,3465035
Benešov,2+1,2021,6,9,50086,2760555
Benešov,2+1,2021,7,12,52374,2787333
Benešov,2+1,2021,8,6,52985,2985000
Benešov,2+1,2021,9,6,56862,3261666
Benešov,2+1,2021,10,9,50827,2818444
Benešov,2+1,2021,11,6,58670,2929333
Benešov,2+1,2021,12,9,56680,3278444
Benešov,2+1,2022,1,3,58787,3293333
Benešov,2+1,2022,2,7,58747,3964142
Benešov,2+kk,2020,3,9,40721,2532795
Benešov,2+kk,2020,4,5,42981,2621070
Benešov,2+kk,2020,5,5,43454,2817270
Benešov,2+kk,2020,6,5,50096,2932270
Benešov,2+kk,2020,8,3,53846,2660000
Benešov,2+kk,2020,9,5,55558,3162270
Benešov,2+kk,2020,10,7,54657,3360907
Benešov,2+kk,2020,12,3,56247,3740400
Benešov,2+kk,2021,1,2,61900,4333000
Benešov,2+kk,2021,2,4,65083,3535000
Benešov,2+kk,2021,3,2,69305,3995000
Benešov,2+kk,2021,4,4,61646,3502145
Benešov,2+kk,2021,6,4,57924,3630250
Benešov,2+kk,2021,7,4,54873,3821500
Benešov,2+kk,2021,8,5,64913,3835000
Benešov,2+kk,2021,9,4,74283,4259750
Benešov,2+kk,2021,10,5,77049,4307800
Benešov,2+kk,2021,11,5,76859,4187800
Benešov,2+kk,2021,12,7,79861,4163564
Benešov,2+kk,2022,1,7,92622,4841992
Benešov,2+kk,2022,2,7,88212,4700564
Benešov,3+1,2020,3,14,37298,2784428
Benešov,3+1,2020,4,13,37116,2892846
Benešov,3+1,2020,5,11,36512,2712363
Benešov,3+1,2020,6,3,39828,3437000
Benešov,3+1,2020,7,5,46151,3480600
Benešov,3+1,2020,8,12,40712,3054333
Benešov,3+1,2020,9,11,40830,2992909
Benešov,3+1,2020,10,14,38735,2897428
Benešov,3+1,2020,12,6,40556,2742333
Benešov,3+1,2021,1,7,41122,2992000
Benešov,3+1,2021,2,5,38652,3264000
Benešov,3+1,2021,3,7,45485,3578428
Benešov,3+1,2021,4,6,49541,3859166
Benešov,3+1,2021,6,9,52921,3847222
Benešov,3+1,2021,7,9,53008,3647222
Benešov,3+1,2021,8,9,55453,3924333
Benešov,3+1,2021,9,2,60100,4074500
Benešov,3+1,2021,10,5,53539,3886000
Benešov,3+1,2021,11,2,50518,3545000
Benešov,3+1,2021,12,7,55105,3952714
Benešov,3+1,2022,1,8,59016,4378624
Benešov,3+1,2022,2,7,60004,4874300
Benešov,3+kk,2020,3,7,57035,4381400
Benešov,3+kk,2020,4,8,56885,4236225
Benešov,3+kk,2020,5,10,51785,4146980
Benešov,3+kk,2020,7,2,43624,3710000
Benešov,3+kk,2020,8,5,53747,4159960
Benešov,3+kk,2020,9,7,51729,3856971
Benešov,3+kk,2020,10,7,47660,3649828
Benešov,3+kk,2020,12,5,54677,3921240
Benešov,3+kk,2021,1,6,51268,3958000
Benešov,3+kk,2021,2,4,54731,4129750
Benešov,3+kk,2021,3,2,41479,2772000
Benešov,3+kk,2021,4,1,35750,2145000
Benešov,3+kk,2021,6,1,67857,4750000
Benešov,3+kk,2021,7,2,68119,4700000
Benešov,3+kk,2021,8,3,70588,4850000
Benešov,3+kk,2021,9,3,67472,4933333
Benešov,3+kk,2021,10,6,59529,4328333
Benešov,3+kk,2021,11,4,61346,5216750
Benešov,3+kk,2021,12,4,66122,4292500
Benešov,3+kk,2022,1,2,96853,7759000
Benešov,3+kk,2022,2,4,77643,5752000
Benešov,4+1,2020,3,1,49987,3999000
Benešov,4+1,2020,4,1,49987,3999000
Benešov,4+1,2020,6,1,46237,3699000
Benešov,4+1,2020,7,1,46237,3699000
Benešov,4+1,2020,8,3,28084,2376333
Benešov,4+1,2020,9,3,26671,2263333
Benešov,4+1,2020,10,3,26000,2143000
Benešov,4+1,2020,12,3,38727,3529666
Benešov,4+1,2021,1,3,38727,3529666
Benešov,4+1,2021,3,2,48780,4000000
Benešov,4+kk,2020,4,4,48983,5004500
Benešov,4+kk,2020,5,5,49083,4963600
Benešov,4+kk,2020,6,3,47424,4859333
Benešov,4+kk,2020,7,2,43742,4300000
Benešov,4+kk,2020,8,2,51610,5334500
Benešov,4+kk,2020,9,4,47015,4639750
Benešov,4+kk,2020,10,3,36133,3261666
Benešov,4+kk,2021,2,1,53051,5199000
Benešov,4+kk,2021,3,2,48998,4644500
Benešov,4+kk,2021,4,4,59099,5322250
Benešov,4+kk,2021,6,3,58211,5730000
Benešov,4+kk,2021,7,2,72502,7395000
Benešov,4+kk,2021,8,2,72502,7395000
Benešov,4+kk,2021,9,2,72502,7395000
Benešov,4+kk,2021,10,6,65128,7513640
Benešov,4+kk,2021,11,6,65128,7513640
Benešov,4+kk,2021,12,5,62230,7758368
Benešov,4+kk,2022,1,4,61161,7836515
Benešov,4+kk,2022,2,4,61161,7836515
Benešov,5+1,2021,8,1,71200,8900000
Benešov,5+1,2021,9,1,63600,7950000
Benešov,5+kk,2020,3,1,25454,2800000
Benešov,5+kk,2020,4,1,25454,2800000
Benešov,5+kk,2020,5,1,25454,2800000
Benešov,Atypický,2020,3,1,25000,400000
Benešov,Atypický,2020,4,1,25000,400000
Benešov,Atypický,2020,5,1,25000,400000
Benešov,Atypický,2020,6,1,25000,400000
Benešov,Atypický,2020,7,2,31250,1400000
Benešov,Atypický,2020,8,1,25000,400000
Benešov,Atypický,2020,9,2,31617,2150000
Benešov,Atypický,2020,10,2,31617,2150000
Benešov,Atypický,2020,12,1,25000,400000
Benešov,Atypický,2021,1,1,25000,400000
Benešov,Atypický,2021,2,1,25000,400000
Benešov,Atypický,2021,3,1,25000,400000
Benešov,Atypický,2021,4,1,25000,400000
Benešov,Atypický,2021,6,1,25000,400000
Benešov,Atypický,2021,7,1,25000,400000
Benešov,Atypický,2021,8,1,25000,400000
Benešov,Atypický,2021,9,1,25000,400000
Benešov,Atypický,2021,12,2,73958,1675000
Benešov,Atypický,2022,1,1,25000,400000
Benešov,Atypický,2022,2,1,142458,5270950
Beroun,1+1,2020,3,2,66749,2390000
Beroun,1+1,2020,4,5,61881,2188000
Beroun,1+1,2020,5,3,57447,2183000
Beroun,1+1,2020,6,3,52753,2019666
Beroun,1+1,2020,7,2,56484,2048000
Beroun,1+1,2020,8,2,50590,1945000
Beroun,1+1,2020,9,1,74964,2099000
Beroun,1+1,2020,12,2,66273,2245000
Beroun,1+1,2021,1,1,89285,2500000
Beroun,1+1,2021,3,2,48658,2125000
Beroun,1+1,2021,4,2,67857,2825000
Beroun,1+1,2021,6,1,72602,2758900
Beroun,1+1,2021,7,1,64285,3150000
Beroun,1+1,2021,8,2,70231,2870000
Beroun,1+1,2021,9,3,68024,2676666
Beroun,1+1,2022,1,1,67085,3153000
Beroun,1+1,2022,2,1,67085,3153000
Beroun,1+kk,2020,3,7,65212,2312714
Beroun,1+kk,2020,4,5,58285,1971800
Beroun,1+kk,2020,5,2,59750,1990000
Beroun,1+kk,2020,6,1,79500,3180000
Beroun,1+kk,2020,7,1,40000,800000
Beroun,1+kk,2020,8,2,69886,2200060
Beroun,1+kk,2020,9,1,60606,1999999
Beroun,1+kk,2020,10,6,64088,2209999
Beroun,1+kk,2020,12,2,86661,3188500
Beroun,1+kk,2021,1,4,76552,2612500
Beroun,1+kk,2021,2,5,84759,3111000
Beroun,1+kk,2021,3,18,82909,3087575
Beroun,1+kk,2021,4,13,84985,3033953
Beroun,1+kk,2021,6,11,89220,3095909
Beroun,1+kk,2021,7,8,89180,2869250
Beroun,1+kk,2021,8,11,85223,2784818
Beroun,1+kk,2021,9,9,94671,3061555
Beroun,1+kk,2021,10,6,82079,2458073
Beroun,1+kk,2021,11,6,84506,3014740
Beroun,1+kk,2021,12,4,102435,3474325
Beroun,1+kk,2022,1,8,85687,2899217
Beroun,1+kk,2022,2,5,86896,2870888
Beroun,2+1,2020,3,7,50797,2982714
